_id,directions[0],directions[1],directions[2],directions[3],directions[4],ingredients[0],ingredients[1],ingredients[2],ingredients[3],ingredients[4],ingredients[5],ingredients[6],ingredients[7],ingredients[8],ingredients[9],ingredients[10],ingredients[11],language,source,title,url,image,tags[0],tags[1],CaloriesPerServing
65feff4379e2f3b093769cd2,"Remove foil lid from cake package. (Do not remove cake from pan.) Pierce cake with skewer at 1/2-inch intervals, poking skewer through cake to bottom of pan.","Add boiling water to gelatin mix in small bowl; stir 2 min. until completely dissolved. Stir in cold water; pour over cake. Refrigerate 1 hour. Meanwhile, make curls from semi-sweet chocolate.",Invert cake onto platter. Cut cake horizontally in half. Spread bottom half of cake with 1/3 cup COOL WHIP; cover with 1 cup pie filling and top cake layer. Frost top and sides of cake with remaining COOL WHIP. Garnish with remaining pie filling and chocolate curls.,,,"1 (16 ounce) loaf frozen pound cake, thawed",3/4 cup boiling water,1 (3 ounce) package JELL-O Cherry Flavor Gelatin,1/4 cup cold water,1 ounce BAKER'S Semi-Sweet Chocolate,"2 cups thawed COOL WHIP Whipped Topping, divided","1 1/2 cups cherry pie filling, divided",,,,,,en-US,allrecipes.com,1-2-3 Cherry Poke Cake,http://allrecipes.com/recipe/235063/1-2-3-cherry-poke-cake/,https://www.allrecipes.com/thmb/EPfaI-pvS1nxkO3IOjVJ4_AKzgg=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/1076016-874120adb8e7405ebca8a3ae0e9aca90.jpg,,,254
65ff015a79e2f3b093769cd3,"In a bowl, combine sausage, shrimp or chicken with Creole seasoning; toss to coat. In a skillet, heat oil over medium heat. Add sausage, shrimp or chicken, cooking and stirring until shrimp turn pink or chicken is no longer pink, about 3-5 minutes.","In a saucepan, prepare rice mix according to package directions. In addition, add one-half of the tomatoes into the rice preparation. After 12 minutes of cooking, add remaining tomatoes, Worcestershire sauce, hot pepper sauce and parsley. Continue to cook on low, covered, until liquid is absorbed and rice is tender.","Add sausage, shrimp or chicken to rice, stir until heated through. Serve.",,,"1 (13.5 ounce) package Johnsonville® Andouille Dinner Sausage, cut into 1/4-inch slices","8 ounces raw shrimp, peeled and deveined or 8 ounces boneless, skinless chicken breast, cut into 1-inch pieces",2 teaspoons Cajun Creole seasoning,1 teaspoon olive oil,1 (8 ounce) package Jambalaya Rice Mix,"1 (14 ounce) can diced tomatoes, drained and divided",1 teaspoon Worcestershire sauce,1 teaspoon hot pepper sauce,2 tablespoons chopped fresh parsley,,,,en-US,allrecipes.com,1-2-3 Jambalaya,http://allrecipes.com/recipe/231315/1-2-3-jambalaya/,https://www.allrecipes.com/thmb/hJHFnafkbTwI1OqmbdoZYcqdnH8=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/4467234-3e9a6a64ba3d43f29612cac161bc82d1.jpg,,,376
65ff016b79e2f3b093769cd4,Mix batter ingredients together in a pre-sprayed 8x8-inch baking dish. Let rest 5 to 10 minutes.,"Top batter evenly with chicken. Pour marinara sauce over chicken, sprinkle with cheese and herbs.","Bake by placing in a COLD oven; set temperature to 350 degrees F. Bake for 30 minutes, or until done.",,,Mazola Pure® Cooking Spray,1 ½ cups all-purpose flour,2 envelopes Fleischmann's® RapidRise Yeast,2 teaspoons sugar,½ teaspoon salt,¾ cup very warm water (120 degrees F to 130 degrees F),3 tablespoons olive oil,"12 ounces fully cooked, frozen, breaded chicken (breast or tenders), chopped",2 cups spaghetti sauce,1 cup Italian blend shredded cheese,1 teaspoon Spice Islands® Italian Herb Seasoning,,en-US,allrecipes.com,1-Dish Chicken Parmesan,http://allrecipes.com/recipe/173295/1-dish-chicken-parmesan/,https://www.allrecipes.com/thmb/rbiRXZ5VqP4m11k7kmu7dbyIcfo=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/981792-facf9947f5734982b4cb68835e0cef57.jpg,,,415
65ff018379e2f3b093769cd5,Beat condensed milk and egg yolks in a bowl until smooth. Add lemon juice and stir until the mixture begins to thicken; pour into prepared pie crust.,"Refrigerate pie until set in the middle, 6 hours to overnight.",,,,1 (14 ounce) can sweetened condensed milk,2 egg yolks,"3 lemons, juiced",1 (9 inch) prepared graham cracker crust,,,,,,,,,en-US,allrecipes.com,1-2-3 Lemon Icebox Pie,http://allrecipes.com/recipe/233728/1-2-3-lemon-icebox-pie/,https://www.allrecipes.com/thmb/eN_S_joms-_d9M-raSFTkM6DHXQ=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/2083164-1-2-3-lemon-icebox-pie-Heather-Brackney-4x3-1-5483ca313f36423a96d5d777da884639.jpg,,,322
65ff01ac79e2f3b093769cd6,"Place potatoes into a pot and cover with water; bring to a boil. Reduce heat to medium-low and simmer until tender, about 20 minutes; drain.","Mix processed cheese, French-fried onions, bacon bits into potatoes and smash together using a potato masher. Stir milk into potatoes, increasing amount until desired consistency is reached.",,,,"4 large red potatoes, cut into 8 wedges",¾ cup sliced processed cheese food (such as Velveeta®),⅔ cup crushed French-fried onions (such as French's®),⅓ cup bacon bits (such as Hormel®),"2 tablespoons milk, or as needed",,,,,,,,en-US,allrecipes.com,Awesome Smashed Red Potatoes,http://allrecipes.com/recipe/239138/awesome-smashed-red-potatoes/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9098302.jpg&q=60&c=sc&poi=auto&orient=true&h=512,,,645
65ff01bc79e2f3b093769cd7,"Into a blender pour in the steak sauce, soy sauce, Italian-style dressing, honey, and garlic powder. Blend for 10 seconds. Pour over any type of steak, cover, and let sit overnight; turning occasionally to coat all sides.",,,,,1 1/2 cups steak sauce,1 tablespoon soy sauce,1/3 cup Italian-style salad dressing,1/3 cup honey,1/2 teaspoon garlic powder,,,,,,,,en-US,allrecipes.com,Awesome Steak Marinade,http://allrecipes.com/recipe/23917/awesome-steak-marinade/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2F2e87c787d5172a6bce632e0553ce33ee%2F470035.jpg&q=60&c=sc&poi=auto&orient=true&h=512,,,406
65ff01c779e2f3b093769cd8,"Mix the vinegar and Dijon mustard in a bowl. Stir the garlic, salt, and pepper into the mixture. Slowly stream the olive oil into the dressing while whisking vigorously. Place the dressing in the refrigerator until ready to use.","Combine the watermelon, feta cheese, and red onion in a large bowl; toss lightly to mix. Season with the coarsely ground black pepper. Pour about half the dressing over the salad; gently toss to coat. Refrigerate the salad at least 30 minutes. Drizzle the remaining dressing over the salad just before serving.",,,,1/4 cup balsamic vinegar,1 tablespoon Dijon mustard,1 tablespoon chopped garlic,1/2 teaspoon kosher salt,1/2 teaspoon freshly ground black pepper,3/4 cup olive oil,3 cups 2-inch cubes watermelon,1 cup crumbled feta cheese,"1/2 red onion, sliced very thin",coarsely ground black pepper to taste,,,en-US,allrecipes.com,Awesome Summer Watermelon Salad,http://allrecipes.com/recipe/198656/awesome-summer-watermelon-salad/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F241380.jpg&q=60&c=sc&poi=auto&orient=true&h=512,,,343
65ff01d579e2f3b093769cd9,"Melt 6 tablespoons butter with canola oil and tangerine juice in a saucepan over medium heat. Remove from heat, and allow to cool about 5 minutes. Soak a piece of cheesecloth large enough to drape over the turkey in the mixture.","Preheat oven to 425 degrees F ( 220 degrees C).Clean turkey, and season body cavity with salt and pepper. Loosely pack the neck cavity and body cavity with stuffing. Tie drumsticks together, spread 6 tablespoons butter over the turkey, and season with salt and pepper. Place turkey in a shallow roasting pan.","Roast turkey for 25 minutes in the preheated oven, and then arrange soaked cheesecloth over turkey.  Reduce oven temperature to 325 degrees F (110 degrees C). Continue roasting 1 hour. Leaving the cheesecloth draped over the turkey, baste with the tangerine juice mixture. Continue roasting about 2 hours, basting occasionally, until the internal temperature of the thickest part of the thigh reaches 180 degrees F (80 degrees C) and the stuffing inside the body cavity reaches 165 degrees F (70 degrees C). Discard cheesecloth, and place turkey on a serving platter. Allow turkey to cool about 25 minutes before carving.","Skim fat from pan juices, and reserve 1/4 cup fat and skimmed pan juices. In the baking pan, mix pan juices with 1 cup turkey stock; cook over high heat, stirring to scrape the bottom of the pan.","In a saucepan over low heat, whisk together reserved 1/4 cup fat and flour until thickened, about 3 minutes. Stir in pan juices and remaining turkey stock, and add neck and giblets. Simmer 10 minutes, stirring constantly, until giblets are cooked through. Strain through a sieve, and serve with the turkey and stuffing.","3/4 cup unsalted butter, divided",3/4 cup canola oil,1 1/2 cups tangerine juice,"1 (10 pound) whole turkey, neck and giblets reserved",2 1/4 cups sausage stuffing,salt and pepper to taste,2 1/4 cups turkey stock,3 tablespoons all-purpose flour,,,,,en-US,allrecipes.com,Awesome Tangerine-Glazed Turkey,http://allrecipes.com/recipe/13677/awesome-tangerine-glazed-turkey/,https://www.allrecipes.com/thmb/nUrttupKoSQh986RlXPfUjeH_3w=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/303710-e50e33ffe6c746ad85569cfb0dec939c.jpg,,,807
65ff01fe79e2f3b093769cda,For the crumb base: Throw the cookies and melted butter into a food processor and pulverize. Spoon some into the bottom of the serving glasses and set aside.,"For the pudding: Combine the sugar, cornstarch and salt in a medium saucepan. Stir or whisk together. Pour in the milk and egg yolks and whisk together. Stir over medium heat until the mixture just barely comes to a boil and becomes thick, 6 to 8 minutes (maybe less, maybe more; just watch it!). The second it starts to bubble and thicken (note: it should be thick like pudding!), remove it from the heat. Add the butter and stir until everything is beautifully combined.",Pour the pudding into the glasses on top of the crumb base. Serve warm or chill in the fridge for 2 hours. Top with chopped toffee candy bar.,,,24 chocolate sandwich cookies,"4 tablespoons salted butter, melted",1 1/2 cups brown sugar,1/4 cup cornstarch,1/4 teaspoon salt,3 cups whole milk,4 large egg yolks,2 tablespoons salted butter,"4 tablespoons chopped toffee candy bar, for topping.",,,,en-US,www.foodnetwork.com,Butterscotch Pudding,http://www.foodnetwork.com/recipes/ree-drummond/butterscotch-pudding,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2015/3/23/2/WU1001H_Butterscotch-Pudding_s4x3.jpg.rend.hgtvcom.826.620.suffix/1427725426598.jpeg,Pudding Recipes,Dessert,630
65ff020f79e2f3b093769cdb,"Mix together flour, shortening, white sugar, baking powder and eggs.  Stir in 2 teaspoons vanilla and salt.",Refrigerate dough for easier roll-out. Bake at 375 degrees F (190 degrees C) for 8-10 minutes (watch carefully).  Add glaze to cooled cookies.,"To Make Glaze:  Mix 1 cup confectioners' sugar, water (to desired consistency), 1/2 tsp. vanilla and preferred food color for cookie icing. Decorate with favorite sprinkles.",,,3 1/2 cups all-purpose flour,1 cup shortening,1 cup white sugar,2 teaspoons baking powder,2 eggs,2 teaspoons vanilla extract,1 teaspoon salt,1 cup confectioners' sugar,2 tablespoons water,1/2 teaspoon vanilla extract,,,en-US,allrecipes.com,Cut-Out Cookies,http://allrecipes.com/recipe/10349/cut-out-cookies/,https://www.allrecipes.com/thmb/DC8B_fOK_GXbAiXGrdGoFBwBbN4=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/1058830-b35e12069ca94dcc85915c53f4ee5cd8.jpg,,,402
65ff022179e2f3b093769cdc,"In a medium bowl, mix together the cream cheese and chutney until well blended. Season with mustard powder and curry powder, and mix well. Chill overnight, or until cream cheese is firm.","Roll chilled cheese mixture into a ball, and roll in almonds to coat. Serve with crackers or veggies.",,,,"2 (8 ounce) packages cream cheese, softened",1/2 cup chutney,1/2 teaspoon mustard powder,1 1/2 tablespoons curry powder,1/2 cup sliced almonds,,,,,,,,en-US,allrecipes.com,Curry Cheese Ball,http://allrecipes.com/recipe/56168/curry-cheese-ball/,https://www.allrecipes.com/thmb/cKcf4Sdwd5SmE8r9cXqwDMtRK24=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/6203751-d713194209ee4318b51b37f3aff4126c.jpg,,,139
65ff024179e2f3b093769cdd,Preheat oven to 425 degrees F (220 degrees C).,"Combine 1/2 cup sugar, 2 tablespoons flour, and cinnamon.  Pour over apples in crust.  Sprinkle lemon juice on top.","Cut 1/2 cup sugar, 1/2 cup flour, and 1/2 cup butter or margarine together, and top pie with the mixture.",Take two 15 inch pieces of parchment paper and enclose pie; fold edges up 3 times. Place on a baking sheet.,"Bake in preheated oven for 1 hour. Remove from oven, split parchment open and cool pie on wire rack. DO NOT open parchment covering while baking! Serve warm, or at room temperature.","5 large Granny Smith apples - peeled, cored and sliced",1/2 cup white sugar,2 tablespoons all-purpose flour,1/2 teaspoon ground cinnamon,2 tablespoons lemon juice,1/2 cup white sugar,1/2 cup all-purpose flour,1/2 cup butter,1 recipe pastry for a 9 inch single crust pie,,,,en-US,allrecipes.com,Dutch Apple Pie,http://allrecipes.com/recipe/12191/dutch-apple-pie/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9116618.jpg&q=60&c=sc&poi=auto&orient=true&h=512,,,407
65ff026379e2f3b093769cde,Preheat oven to 350 degrees F (175 degrees C). Grease a 9 inch square baking pan.,"In a large bowl, combine the flour, baking powder, salt, sugar and unsweetened cocoa. Stir in the oil, vanilla, and 3/4 cup of evaporated milk until well blended. Spread the mixture evenly into the prepared pan.","Bake for 25 to 30 minutes in the preheated oven, until a toothpick inserted into the center comes out clean.","To make the frosting: In a small saucepan, combine the remaining evaporated milk, sweetened cocoa, and butter. Cook over medium heat until almost boiling, remove from heat and chill until brownies are ready. When brownies are completely cool, frost with the chilled icing and cut into bars, or frost them individually.",,1 1/8 cups all-purpose flour,3/4 teaspoon baking powder,3/4 teaspoon salt,1 cup white sugar,1 1/2 cups unsweetened cocoa powder,2/3 cup vegetable oil,1 teaspoon vanilla extract,3/4 cup evaporated milk,1/2 cup evaporated milk,1/3 cup sweetened cocoa mix,1 teaspoon butter,,en-US,allrecipes.com,Extra Extra Rich Brownies,http://allrecipes.com/recipe/19862/extra-extra-rich-brownies/,https://www.allrecipes.com/thmb/77YSDtSBSIPEYdln3RSTt9gX-vc=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/190883-37e11d76bda54661a29cec2de5e12554.jpg,,,194
65ff029479e2f3b093769cdf,Put popped popcorn in a large bowl. Drizzle melted butter over the popcorn and mix. Sprinkle nutritional yeast and za'atar over the popcorn; mix.,,,,,"1/2 cup popcorn kernels, popped in an air popper","2 tablespoons salted butter, melted",3 tablespoons nutritional yeast,1 1/2 teaspoons za'atar,,,,,,,,,en-US,allrecipes.com,Funky Popcorn,http://allrecipes.com/recipe/235542/funky-popcorn/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2F32797f7348111af95d8f28848e079e70%2F1070873.jpg&q=60&c=sc&poi=auto&orient=true&h=512,,,205
65ff02a179e2f3b093769ce0,"Cream butter or margarine and sugar together in a large bowl.  Add vanilla, and then eggs to the mixture.","In another bowl, mix together flour, soda, baking powder, and salt.  Sour the milk by adding the lemon juice or vinegar.  Add flour mixture alternately with soured milk to the creamed mixture.","Mix cocoa and hot water together, and beat into batter.","Bake 30 to 35 minutes at 350 degrees F (175 degrees C).  Cool, and frost with desired frosting.",,1 1/2 cups white sugar,1 teaspoon vanilla extract,2 eggs,1 cup milk,1 tablespoon fresh lemon juice,1/2 cup unsweetened cocoa powder,1 cup hot water,2 1/2 cups all-purpose flour,1 teaspoon baking soda,1 teaspoon baking powder,1/2 teaspoon salt,1/2 cup butter,en-US,allrecipes.com,Fudge Cake,http://allrecipes.com/recipe/7374/fudge-cake/,https://www.allrecipes.com/thmb/q3YF8xMr9yrcvdkzjnKMQY8IC1M=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/8050734-06c448a3e13a4cf78ff0b9d47f68d0ee.jpg,,,194
65ff02bf79e2f3b093769ce1,Preheat oven to 350 degrees F (175 degrees C). Grease and flour one 13x9 inch pan.,"Sift together flour, nutmeg, soda, cinnamon, and cloves.","In another bowl, mix together guava pulp and juice.","In another bowl, cream together butter and sugar. Add eggs, one at a time. Add flour mixture and guava mixture alternately to creamed mixture. Pour batter into prepared pan.",Bake at 350 degrees F (175 degrees C) for 30-35 minutes.,2 cups white sugar,1 cup butter,4 eggs,1 cup guava pulp,1/2 cup guava nectar,3 cups cake flour,1 teaspoon ground nutmeg,1 1/4 teaspoons baking soda,1/4 teaspoon ground cloves,1/4 teaspoon ground cinnamon,,,en-US,allrecipes.com,Guava Cake,http://allrecipes.com/recipe/7966/guava-cake/,https://www.allrecipes.com/thmb/9UjLHwQHBRHxWmVdnsgRN1fJ9h0=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/7190247-1e29ccc2f97b493ebf2e00dc14807deb.jpg,,,373
65ff02d479e2f3b093769ce2,Preheat the oven to 475 degrees C (220 degrees C).,"Roll out pizza crust and place on a pizza pan or baking sheet. Spread a thin layer of hummus over the crust. Arrange sliced peppers and broccoli over the hummus, and top with shredded cheese.","Bake for 10 to 15 minutes in the preheated oven, until the crust is golden brown and cheese is melted in the center. Slice and serve.",,,1 (10 ounce) can refrigerated pizza crust dough,1 cup hummus spread,"1 ½ cups sliced bell peppers, any color",1 cup broccoli florets,2 cups shredded Monterey Jack cheese,,,,,,,,en-US,allrecipes.com,Hummus Pizza,http://allrecipes.com/recipe/74437/hummus-pizza/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2022%2F01%2F22%2FHummus-Pizza-2000.jpg&q=60&c=sc&poi=auto&orient=true&h=512,,,251
65ff02f379e2f3b093769ce3,"Place dough in a large bowl. Cover with plastic wrap and let rise in a warm place until doubled, 45 minutes to 1 hour.","Roll dough into a 17x20-inch rectangle about 1/4-inch thick on a large piece of parchment paper. Brush olive oil over dough; sprinkle basil and oregano on top. Layer mortadella, provolone cheese, capicola ham, Genoa salami, tomatoes, and mushrooms over dough.","Roll dough lengthwise into a log. Brush the top with beaten egg; sprinkle sesame seeds on top. Transfer to a baking sheet. Cover with plastic wrap and let rise until puffy, about 30 minutes.",Preheat oven to 300 degrees F (150 degrees C).,"Bake in the preheated oven until golden brown, about 45 minutes. Let cool for 5 minutes before slicing.","1 (1 pound) loaf frozen bread dough, thawed","1 tablespoon olive oil, or to taste",1 teaspoon dried oregano,1 teaspoon dried basil,16 slices mortadella,12 slices provolone cheese,12 thin slices capicola ham,12 slices Genoa salami,1 1/2 cups sliced Roma tomatoes (optional),1 1/2 cups thinly sliced fresh mushrooms (optional),"1 egg, beaten",2 tablespoons sesame seeds (optional),en-US,allrecipes.com,Italian Stuffed Bread,http://allrecipes.com/recipe/257065/italian-stuffed-bread/,https://www.allrecipes.com/thmb/2Qlmd1cpFXDJ5fjFaOFrTI_Uio4=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/4529871-9da7a008d2b9442094c9bc851330bbde.jpg,,,807
65ff030179e2f3b093769ce4,"Combine the cauliflower, bell pepper, onion, dill, balsamic vinegar, white wine vinegar, and olive oil in a large resalable bag; shake bag to evenly coat. Allow to marinate in refrigerator 1 to 2 hours, turning bag occasionally.",Preheat oven to 450 degrees F (230 degrees C).,Open the bag and season with salt and pepper; reseal the bag and shake again to coat. Pour into a 9x13 glass baking dish.,"Bake in the preheated oven until tender, about 30 minutes, stirring occasionally.",,"1 head cauliflower, cut into florets","1 large red bell pepper, cut into 1-1/2 inch pieces","1 red onion, sliced",1/2 cup chopped fresh dill,3 tablespoons balsamic vinegar,2 tablespoons white wine vinegar,2 teaspoons olive oil,salt and pepper to taste,,,,,en-US,allrecipes.com,Italian Roasted Cauliflower,http://allrecipes.com/recipe/163623/italian-roasted-cauliflower/,https://www.allrecipes.com/thmb/JSIF7WQtrsy5wR4HH6K21ewWOpk=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/966854-c16ac385a3d34314bc2c1715f43376ff.jpg,,,90
65ff036c79e2f3b093769ce5,Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 inch baking pan.,"In a large bowl, mix pumpkin puree, evaporated milk, eggs, sugar, cinnamon, nutmeg, allspice, and salt. Transfer mixture to the prepared pan. Pour dry yellow cake mix over the mixture, sprinkle with walnuts, and drizzle with melted margarine.","Bake 35 minutes in the preheated oven. Reduce heat to 325 degrees F (165 degrees C), and continue baking 15 minutes, until a toothpick inserted in the center of the cake comes out clean.",,,1 (15 ounce) can canned pumpkin puree,1 (12 fluid ounce) can evaporated milk,4 eggs,1 cup white sugar,1 teaspoon ground cinnamon,1/2 teaspoon ground nutmeg,1/2 teaspoon ground allspice,1/2 teaspoon salt,1 (18.25 ounce) package yellow cake mix,2 cups chopped walnuts,"7/8 cup margarine, softened",,en-US,allrecipes.com,Pumpkin Walnut Cake,http://allrecipes.com/recipe/29884/pumpkin-walnut-cake/,https://www.allrecipes.com/thmb/Nc5z-_0zVLUu8dSHekpiN_V8KsU=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/4694238-1f449d24303c4f1ab06a29d814f24795.jpg,,,386
